,Task,Manual Task,Collapsed SubProcess,Exclusive Gateway,Parallel Gateway,Start Event,End Event,Intermediate Throw Message Event,Intermediate Boundary Message Event,Intermediate Boundary Timer Event,Message Flow,Sequence Flow,Lane,Collapsed Pool,Expanded Pool,Choreography Task,Choreography Message,Choreography Participant,Conversation,Conversation SubProcess,Conversation Call,Association Undirected,Text Annotation
Task,1.0,-0.11,-0.11,0.94,0.15,0.26,0.43,0.11,0.11,0.11,-0.46,0.97,-0.11,-0.11,-0.11,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.11,-0.11
Manual Task,-0.11,1.0,1.0,-0.25,0.76,-0.76,0.17,-0.17,-0.17,-0.17,0.17,0.09,1.0,1.0,1.0,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,1.0,1.0
Collapsed SubProcess,-0.11,1.0,1.0,-0.25,0.76,-0.76,0.17,-0.17,-0.17,-0.17,0.17,0.09,1.0,1.0,1.0,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,1.0,1.0
Exclusive Gateway,0.94,-0.25,-0.25,1.0,-0.15,0.33,0.31,0.11,0.11,0.11,-0.39,0.89,-0.25,-0.25,-0.25,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.25,-0.25
Parallel Gateway,0.15,0.76,0.76,-0.15,1.0,-0.52,0.22,-0.22,-0.22,-0.22,-0.02,0.29,0.76,0.76,0.76,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,0.76,0.76
Start Event,0.26,-0.76,-0.76,0.33,-0.52,1.0,0.15,0.22,0.22,0.22,0.02,0.15,-0.76,-0.76,-0.76,0.22,0.22,0.22,-0.51,-0.51,-0.51,-0.76,-0.76
End Event,0.43,0.17,0.17,0.31,0.22,0.15,1.0,0.67,0.67,0.67,-0.11,0.54,0.17,0.17,0.17,0.11,0.11,0.11,-0.44,-0.44,-0.44,0.17,0.17
Intermediate Throw Message Event,0.11,-0.17,-0.17,0.11,-0.22,0.22,0.67,1.0,1.0,1.0,-0.26,0.15,-0.17,-0.17,-0.17,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.17,-0.17
Intermediate Boundary Message Event,0.11,-0.17,-0.17,0.11,-0.22,0.22,0.67,1.0,1.0,1.0,-0.26,0.15,-0.17,-0.17,-0.17,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.17,-0.17
Intermediate Boundary Timer Event,0.11,-0.17,-0.17,0.11,-0.22,0.22,0.67,1.0,1.0,1.0,-0.26,0.15,-0.17,-0.17,-0.17,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.17,-0.17
Message Flow,-0.46,0.17,0.17,-0.39,-0.02,0.02,-0.11,-0.26,-0.26,-0.26,1.0,-0.32,0.17,0.17,0.17,0.85,0.85,0.85,-0.26,-0.26,-0.26,0.17,0.17
Sequence Flow,0.97,0.09,0.09,0.89,0.29,0.15,0.54,0.15,0.15,0.15,-0.32,1.0,0.09,0.09,0.09,-0.16,-0.16,-0.16,-0.34,-0.34,-0.34,0.09,0.09
Lane,-0.11,1.0,1.0,-0.25,0.76,-0.76,0.17,-0.17,-0.17,-0.17,0.17,0.09,1.0,1.0,1.0,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,1.0,1.0
Collapsed Pool,-0.11,1.0,1.0,-0.25,0.76,-0.76,0.17,-0.17,-0.17,-0.17,0.17,0.09,1.0,1.0,1.0,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,1.0,1.0
Expanded Pool,-0.11,1.0,1.0,-0.25,0.76,-0.76,0.17,-0.17,-0.17,-0.17,0.17,0.09,1.0,1.0,1.0,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,1.0,1.0
Choreography Task,-0.25,-0.17,-0.17,-0.17,-0.22,0.22,0.11,-0.11,-0.11,-0.11,0.85,-0.16,-0.17,-0.17,-0.17,1.0,1.0,1.0,-0.11,-0.11,-0.11,-0.17,-0.17
Choreography Message,-0.25,-0.17,-0.17,-0.17,-0.22,0.22,0.11,-0.11,-0.11,-0.11,0.85,-0.16,-0.17,-0.17,-0.17,1.0,1.0,1.0,-0.11,-0.11,-0.11,-0.17,-0.17
Choreography Participant,-0.25,-0.17,-0.17,-0.17,-0.22,0.22,0.11,-0.11,-0.11,-0.11,0.85,-0.16,-0.17,-0.17,-0.17,1.0,1.0,1.0,-0.11,-0.11,-0.11,-0.17,-0.17
Conversation,-0.25,-0.17,-0.17,-0.17,-0.22,-0.51,-0.44,-0.11,-0.11,-0.11,-0.26,-0.34,-0.17,-0.17,-0.17,-0.11,-0.11,-0.11,1.0,1.0,1.0,-0.17,-0.17
Conversation SubProcess,-0.25,-0.17,-0.17,-0.17,-0.22,-0.51,-0.44,-0.11,-0.11,-0.11,-0.26,-0.34,-0.17,-0.17,-0.17,-0.11,-0.11,-0.11,1.0,1.0,1.0,-0.17,-0.17
Conversation Call,-0.25,-0.17,-0.17,-0.17,-0.22,-0.51,-0.44,-0.11,-0.11,-0.11,-0.26,-0.34,-0.17,-0.17,-0.17,-0.11,-0.11,-0.11,1.0,1.0,1.0,-0.17,-0.17
Association Undirected,-0.11,1.0,1.0,-0.25,0.76,-0.76,0.17,-0.17,-0.17,-0.17,0.17,0.09,1.0,1.0,1.0,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,1.0,1.0
Text Annotation,-0.11,1.0,1.0,-0.25,0.76,-0.76,0.17,-0.17,-0.17,-0.17,0.17,0.09,1.0,1.0,1.0,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,1.0,1.0
