fileName;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;
4.1_baugesuch_bekanntmachen.bpmn.xml;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;false;true;false;true;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
8.2_bauvoraussetzungen_durch_bg_kontrollieren.bpmn.xml;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
8.3_bauvoraussetzungen_durch_vs_kontrollieren.bpmn.xml;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
8.5_spezialkontrollen_durch_bg_durchfuhren.bpmn.xml;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
8.6_spezialkontrollen_durch_vs_durchfuhren.bpmn.xml;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
8.9_schlusskontrolle_durch_vs_durchhfuhren.bpmn.xml;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
Abstimmung anordnen.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
Abstimmung durchführen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Abstimmung verarbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Abstimmung vorbereiten.bpmn;true;true;true;false;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Amtl. Information verbreiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
Anfrage bearbeiten - Eingang Baugesuch (1.2).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
Anfrage bearbeiten - Eingang Baugesuch Zentrale Dienste (1.1) .bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;true;true;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
Anfrage bearbeiten - Eingang VS (1.3).bpmn;true;true;true;false;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;false;true;true;false;true;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
Antrag erstellen - Baugesuch (7.1).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
Antrag für Direktion sichten - Baugesuch (7.5).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Antrag juristisch prüfen - Baugesuch (7.3).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;
Antrag materiell prüfen - Baugesuch (7.2).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Arbeitsverhältnis beenden.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;
Arbeitsvertrag ausstellen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;false;true;true;true;true;
